service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
jvm-kotlin-spring,default,1655969676,True,20,1061,712992,712992,0,749345030.5641025,751366144.0,0.09472117724745426,0.08981288004910988,56475468354.0,660494112.7321669,722448384.0,0.43022904376667326,0.5473536580645161,149928615897.0
jvm-kotlin-spring,default,1655970524,True,20,1060,712320,712320,0,1031103488.0,1036201984.0,0.096098126366077,0.09045820229292145,56891356587.0,654837809.6819407,725962752.0,0.43426969179361063,0.548418134737606,151986540872.0
jvm-kotlin-spring,default,1655971373,True,20,1061,712992,712992,0,977941069.1126187,983560192.0,0.09449489076614304,0.08966247883663367,56462136270.0,659091516.8043185,715808768.0,0.43175393474404633,0.546849582122905,136977228056.0
jvm-kotlin-spring,default,1655972210,True,20,1061,712992,712992,0,1023287168.6918919,1030946816.0,0.09604189972079738,0.09177924967789483,57063494199.0,668748854.0405954,730832896.0,0.4306389960236777,0.5468058355181024,149223967757.0
jvm-kotlin-spring,default,1655973049,True,20,1061,712992,712992,0,981280164.6702703,989822976.0,0.09455440407013058,0.08955020678965944,56655246449.0,663326119.7720488,725172224.0,0.43450031752892804,0.5481471706359102,149832132743.0
jvm-kotlin-spring,mysql,1656407575,True,20,500,336000,336000,0,1014826089.1675676,1022693376.0,0.07401690793227045,0.057492906401204066,49800789590.0,980932461.5168691,1005285376.0,0.4636666090665799,0.5696592153702551,178613015001.0
jvm-kotlin-spring,mysql,1656408417,True,20,500,336000,336000,0,998694216.0222842,1007431680.0,0.07623767971726614,0.05930529515111094,49591300339.0,969803648.1775312,995876864.0,0.4797725677569658,0.5702477013784462,180317903744.0
jvm-kotlin-spring,mysql,1656409236,True,20,502,337344,337344,0,972145064.8962655,979603456.0,0.07545193414655665,0.05930524257425743,49513456954.0,977066766.0659341,1002479616.0,0.47497477367064633,0.5682560122913878,179888987953.0
jvm-kotlin-spring,mysql,1656410061,True,20,501,336672,336672,0,1030133299.5531034,1038225408.0,0.07499912767008536,0.05884700564516129,49140425360.0,977931965.9696552,1004290048.0,0.47260308069452384,0.5686209920841063,179050482159.0
jvm-kotlin-spring,mysql,1656410885,True,20,500,336000,336000,0,1002323443.5795149,1009405952.0,0.07349008475361163,0.05815284903533655,49929602297.0,985626797.1865772,1014882304.0,0.46286840348100183,0.567813198310388,178545868964.0
jvm-kotlin-spring,mysql,1656411730,True,20,490,335981,335981,0,984027605.5690608,990769152.0,0.07445134095586392,0.05766222187000192,49859228875.0,971453358.6410959,995715072.0,0.48840864335868034,0.5737412658325242,182727560645.0
jvm-kotlin-spring,mysql,1656412556,True,20,504,338688,338688,0,963969870.4687934,970510336.0,0.07538627738250608,0.05689254131106988,49920620323.0,972289792.351166,998277120.0,0.47679036415105086,0.5693244864609571,180953387648.0
jvm-kotlin-spring,mysql,1656413379,True,20,500,336000,336000,0,919037480.2384824,925319168.0,0.07346796659415131,0.058947540400893526,49529719175.0,981867924.9014845,1005281280.0,0.4598285832105921,0.5676975365564566,177796996260.0
jvm-kotlin-spring,mysql,1656414219,True,20,502,337344,337344,0,990260642.6519337,1000329216.0,0.07543247439171451,0.05983562578565506,50904755373.0,979026083.614325,1005115392.0,0.4745885790236085,0.5704903611904957,179752520225.0
jvm-kotlin-spring,mysql,1656415042,True,20,500,336000,336000,0,1054146454.6901218,1063194624.0,0.07394793590691288,0.056785575628140704,49032755425.0,989135441.7825503,1019252736.0,0.4633163050306062,0.569138581375,178501473178.0
jvm-kotlin-spring,no-index,1655983109,True,20,929,624288,624288,0,553011648.345946,554979328.0,0.08449667662241968,0.08072355010754642,54696812985.0,515897045.1027027,575100928.0,0.4422174428893179,0.5586294218096551,152605959221.0
jvm-kotlin-spring,no-index,1655983948,True,20,928,623616,623616,0,620307918.9419703,622084096.0,0.08322527704622136,0.08012415854410858,54998778902.0,515654046.5748988,572534784.0,0.4412080367047698,0.5590687126708075,152595336636.0
jvm-kotlin-spring,no-index,1655984785,True,20,931,625632,625632,0,852488897.8236092,857333760.0,0.0846416100188483,0.08097988436923077,55053157436.0,523450095.11709285,577097728.0,0.4441965250615161,0.5579657152838428,153756911542.0
jvm-kotlin-spring,no-index,1655985623,True,20,931,625632,625632,0,633035680.3897158,635400192.0,0.08594415804391044,0.08260755960712093,55478883110.0,517502348.38709676,571537408.0,0.44235494455301333,0.558001259655629,152601681670.0
jvm-kotlin-spring,no-index,1655986462,True,20,929,624288,624288,0,647149126.1655359,650534912.0,0.0849911555799843,0.08157429003667481,54593621189.0,513713993.3405405,574625792.0,0.44166875822804824,0.5567080285446009,149468157784.0
jvm-kotlin-spring,no-index,1655987299,True,20,936,628992,628992,0,899265888.344086,905715712.0,0.08556850613667309,0.08315894229234852,55102825638.0,521268201.97849464,581500928.0,0.4427183092403344,0.5551773439892371,148325753159.0
jvm-kotlin-spring,no-index,1655988140,True,20,936,628992,628992,0,880541779.027027,884494336.0,0.08526747842038201,0.08115114158386838,55308717040.0,520670608.21563345,584882176.0,0.4461805539677255,0.5594380029616473,150290507379.0
jvm-kotlin-spring,no-index,1655988980,True,20,931,625632,625632,0,848902644.2537112,856211456.0,0.0844720146374901,0.08149750964749536,55426445604.0,524858575.00808626,577828864.0,0.4427879189305903,0.5592718205530771,147890996399.0
jvm-kotlin-spring,no-index,1655989819,True,20,929,624288,624288,0,974980339.1478969,987856896.0,0.08573248028737082,0.08216260061425061,54655658740.0,515149641.3405405,570658816.0,0.4429389626513799,0.5582926250501198,147674443040.0
jvm-kotlin-spring,no-index,1655990654,True,20,936,628992,628992,0,672082668.7311828,672937984.0,0.08532843969394388,0.08241597248188653,55345109154.0,528574549.44818306,587186176.0,0.44441948677954707,0.5580789224984463,148965461753.0
jvm-kotlin-spring,no-pagination,1656112464,True,20,1061,690711,690711,0,561839703.8910081,562499584.0,0.09191997136799654,0.08800091614349198,55455000138.0,657655245.4235454,723812352.0,0.43426753662117046,0.5480485993781095,136526167570.0
jvm-kotlin-spring,no-pagination,1656113301,True,20,1066,693966,693966,0,676768547.082768,676835328.0,0.09367475311042146,0.089717155918619,56455754144.0,666698786.6414073,737124352.0,0.43570732006315976,0.5485563038053649,133646754022.0
jvm-kotlin-spring,no-pagination,1656114135,True,20,1060,690060,690060,0,895553480.4233378,905216000.0,0.09262432897623732,0.08798409530864197,56093506511.0,658358999.6877524,730062848.0,0.4351116965096561,0.5468738079127726,134383892542.0
jvm-kotlin-spring,no-pagination,1656114971,True,20,1063,692013,692013,0,643560543.6102842,649109504.0,0.09269381428761467,0.08880450229386237,55416179542.0,658766188.027137,723353600.0,0.4367667102871475,0.5483125448447205,133842641045.0
jvm-kotlin-spring,no-pagination,1656115806,True,20,1061,690711,690711,0,980882665.7391304,992845824.0,0.09348076614726367,0.08801026531634826,57021097434.0,660541072.6956521,720744448.0,0.43376011077349597,0.5482151768108703,133272537808.0
jvm-kotlin-spring,no-pagination,1656116641,True,20,1002,652302,652302,0,965935892.1192412,972664832.0,0.08816415451864569,0.084164486508494,54991273499.0,656948856.5921938,714264576.0,0.43849548142550715,0.5550858030453698,132855967158.0
jvm-kotlin-spring,no-pagination,1656117478,True,20,1069,695919,695919,0,972751009.1723202,981606400.0,0.09360906309740644,0.08821842145052243,56786228722.0,663798037.1312585,727330816.0,0.437072249024431,0.5476172898568762,133339156991.0
jvm-kotlin-spring,no-pagination,1656118313,True,20,1071,697221,697221,0,765832632.4450475,766758912.0,0.09298245534050018,0.08791474767801857,56391813733.0,665852397.9620596,731754496.0,0.4382662905715111,0.5493222938572406,134143942478.0
jvm-kotlin-spring,no-pagination,1656119148,True,20,1064,692664,692664,0,950186790.9565217,955074560.0,0.09232812810327247,0.08642037519358094,55791640071.0,667021350.9036635,724541440.0,0.4368842136939742,0.5493084300373134,133565116698.0
jvm-kotlin-spring,no-pagination,1656119982,True,20,1061,690711,690711,0,991030422.2608696,996161536.0,0.09231181076808728,0.08634648970735866,56136945230.0,657550245.932341,716926976.0,0.4343572731535334,0.5489114913771712,134067309541.0
jvm-kotlin-spring,orm-loop,1656059007,True,20,1060,712320,712320,0,987727480.06469,994025472.0,0.09984337287697281,0.09620327889535824,58496153859.0,652182991.9571046,714268672.0,0.42544588389603744,0.5371566007084991,139073180926.0
jvm-kotlin-spring,orm-loop,1656059850,True,20,1058,710976,710976,0,968493464.5033467,975642624.0,0.09789673411243091,0.09230711040247679,59239358587.0,650983610.1818181,703975424.0,0.4256320026367318,0.540227808722044,139258476368.0
jvm-kotlin-spring,orm-loop,1656060697,True,20,1060,712320,712320,0,1039081526.3957503,1034694656.0,0.09779985867236302,0.09273054888059702,60071217340.0,656879768.9173334,711809024.0,0.42409045846963417,0.539767745918271,139119429837.0
jvm-kotlin-spring,orm-loop,1656061554,True,20,1060,712320,712320,0,1038476108.592992,1048489984.0,0.09908716794347845,0.09325674653307595,59431189936.0,664701282.2486486,721170432.0,0.4287717287951547,0.540308039286743,137676256962.0
jvm-kotlin-spring,orm-loop,1656062394,True,20,1056,709632,709632,0,1081941849.945946,1093603328.0,0.09865772567080924,0.09272741473194163,59730847124.0,653449982.9691275,713437184.0,0.4273947077520515,0.5406022727216367,138113019638.0
